sentiment_score,Open,High,Low,Close,Volume,Dividends,Stock Splits,sentiment_score_average,subjectivity,topic_0,topic_1,topic_2,topic_3,topic_4,Stock_AAPL,Stock_AMZN,Stock_GOOGL,Stock_MSFT,Stock_TSLA,Year,Month,Day,Weekday,Quarter
0.1041666666666666,234.8099975585937,237.8099975585937,233.97000122070312,237.3300018310547,28481400.0,0.0,0.0,0.1229166666666666,0.225,0.9691278975739605,0.007717884062140806,0.0077535064185501575,0.0076981348770207465,0.007702577068327775,1,0,0,0,0,2024,11,29,4,4
0.1416666666666666,234.8099975585937,237.8099975585937,233.97000122070312,237.3300018310547,28481400.0,0.0,0.0,0.1229166666666666,0.3416666666666667,0.07990011421924384,0.013367824980137985,0.4718010689647565,0.1380683663680929,0.2968626254677688,1,0,0,0,0,2024,11,29,4,4
0.1041666666666666,228.0599975585937,230.72000122070312,228.0599975585937,229.8699951171875,38168300.0,0.0,0.0,0.1041666666666666,0.225,0.9691279465476352,0.007715982546265807,0.007751918706357131,0.0076981341416680745,0.007706018058073808,1,0,0,0,0,2024,11,22,4,4
0.1041666666666666,226.3999938964844,226.9199981689453,224.2700042724609,225.0,47923700.0,0.0,0.0,0.1041666666666666,0.225,0.9691085231417205,0.007714833403095311,0.007753384700654702,0.00770315267473815,0.007720106079791494,1,0,0,0,0,2024,11,15,4,4
0.1041666666666666,227.1699981689453,228.66000366210932,226.41000366210932,226.9600067138672,38328800.0,0.25,0.0,0.1138257575757575,0.225,0.967902744284427,0.008018365787443256,0.008061447503126394,0.008006311460293649,0.00801113096470972,1,0,0,0,0,2024,11,8,4,4
0.1234848484848484,227.1699981689453,228.66000366210932,226.41000366210932,226.9600067138672,38328800.0,0.25,0.0,0.1138257575757575,0.6181818181818182,0.012603091590332023,0.0126244867562527,0.012548384472479258,0.012574092919722538,0.9496499442612135,1,0,0,0,0,2024,11,8,4,4
0.0,225.5592869867948,227.77058891236223,224.814484195154,225.88626098632807,45065775.0,0.1875,0.0,0.1317535903250188,0.0,0.016666823106849887,0.016771371141141668,0.016679362248253036,0.9329457159041519,0.01693672759960359,1,0,0,0,0,2024,11,2,5,4
0.1488888888888889,223.9485758046443,226.8811741626152,223.2189647281986,224.81251525878903,51802750.0,0.125,0.0,0.1317535903250188,0.19777777777777777,0.007416643115999618,0.007620391139062676,0.007438788741697653,0.9698998175644058,0.007624359438834216,1,0,0,0,0,2024,11,2,5,4
0.2463718820861677,222.33786462249375,225.9917594128681,221.62344526124323,223.73876953125,58539725.0,0.0625,0.0,0.1317535903250188,0.6090702947845805,0.02222257667760574,0.1856561293839687,0.022389331935966712,0.02283448216977775,0.7468974798326811,1,0,0,0,0,2024,11,2,5,4
0.1041666666666666,220.72715344034327,225.10234466312104,220.02792579428785,222.6650238037109,65276700.0,0.0,0.0,0.1041666666666666,0.225,0.967902744284427,0.008018365787443256,0.008061447503126394,0.008006311460293649,0.00801113096470972,1,0,0,0,0,2024,11,1,4,4
-0.0071428571428571,233.0635949831452,234.472033847566,232.2944369244333,233.1434936523437,36087100.0,0.0,0.0,-0.0071428571428571,0.2785714285714286,0.01176485419908518,0.3533289293969651,0.08497131300637698,0.537855723163957,0.012079180233615856,1,0,0,0,0,2024,10,28,0,4
0.1041666666666666,229.4875225740561,232.96369380669327,229.3177112321018,231.1556854248047,38802300.0,0.0,0.0,0.1041666666666666,0.225,0.9691131029939668,0.0077156946192620405,0.007755213245857479,0.007698133767619142,0.007717855373294563,1,0,0,0,0,2024,10,25,4,4
0.2666666666666666,229.7272566761152,230.56634513279107,228.15898997077213,230.31661987304688,31109500.0,0.0,0.0,0.2666666666666666,0.3833333333333333,0.08496232276125762,0.010639664171323459,0.010661714611839127,0.01066372101797575,0.883072577437604,1,0,0,0,0,2024,10,24,3,4
0.4875,232.82384112492184,233.24338535325975,230.95590112607397,232.52917480468747,38770500.0,0.0,0.0,0.4875,0.5,0.012879151508504418,0.9488492667840913,0.012689598015243655,0.01257556855262111,0.013006415139539429,1,0,0,0,0,2024,10,20,6,4
0.1875,235.9204255737285,235.9204255737285,233.75281228137572,234.74172973632807,46431500.0,0.0,0.0,0.1405892255892255,0.5416666666666666,0.009127007774495478,0.009307774465988244,0.009338645133376363,0.009296384780690729,0.9629301878454491,1,0,0,0,0,2024,10,18,4,4
0.1041666666666666,235.9204255737285,235.9204255737285,233.75281228137572,234.74172973632807,46431500.0,0.0,0.0,0.1405892255892255,0.225,0.9691191353846705,0.007707916612841255,0.007758905375548392,0.007704484701810436,0.007709557925129254,1,0,0,0,0,2024,10,18,4,4
0.1301010101010101,235.9204255737285,235.9204255737285,233.75281228137572,234.74172973632807,46431500.0,0.0,0.0,0.1405892255892255,0.4104292929292929,0.22013419645183455,0.012467009149628705,0.01199862921755818,0.3771475061186414,0.3782526590623372,1,0,0,0,0,2024,10,18,4,4
0.1041666666666666,229.04800351672907,229.15788323697032,227.09015084025384,227.2999267578125,31759200.0,0.0,0.0,0.1041666666666666,0.225,0.9690933152539968,0.007721007586033517,0.007772022800951604,0.007711077411075463,0.007702576947942783,1,0,0,0,0,2024,10,11,4,4
-0.6,224.9824739985636,229.49751090746847,224.58291968465133,229.2877349853516,33591100.0,0.0,0.0,-0.6,1.0,0.015384749718280934,0.9379719748307072,0.015558144083946504,0.015585511184167452,0.01549962018289787,1,0,0,0,0,2024,10,9,2,4
